Admission_grade,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_grade,Status,Status_New,Course_33,Course_171,Course_8014,Course_9003,Course_9070,Course_9085,Course_9119,Course_9130,Course_9147,Course_9238,Course_9254,Course_9500,Course_9556,Course_9670,Course_9773,Course_9853,Course_9991,Gender_0,Gender_1,Daytime_evening_attendance_0,Daytime_evening_attendance_1
127.3,0,0,1,0,20,0.0,0.0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
142.5,0,0,0,0,19,14.0,13.666666666666666,2,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
124.8,0,0,0,0,19,0.0,0.0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
119.6,0,0,1,0,20,13.428571428571429,12.4,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
141.5,0,0,1,0,45,12.333333333333334,13.0,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
114.8,0,1,1,0,50,11.857142857142858,11.5,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
128.4,0,0,1,1,18,13.3,14.345,2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
113.1,0,0,0,0,22,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
129.3,0,0,1,1,21,13.875,14.142857142857142,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
123.0,0,1,0,0,18,11.4,13.5,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
130.6,0,0,1,0,18,12.333333333333334,14.2,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
119.3,0,0,1,1,18,13.214285714285714,13.214285714285714,2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
130.2,0,0,1,0,19,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
111.8,0,0,1,1,21,10.571428571428571,11.0,2,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
137.1,0,0,1,1,18,13.25,12.0,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
120.7,0,0,1,0,20,13.2,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
137.4,0,0,1,0,18,12.0,11.0,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
127.3,0,0,1,0,18,13.30625,14.545,2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
136.3,0,0,1,0,20,12.5,12.25,2,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
124.6,0,0,1,0,18,11.666666666666666,13.5,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
120.3,0,0,1,1,21,0.0,0.0,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
121.8,0,0,1,0,20,11.4375,11.425,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
125.5,0,0,1,0,18,12.857142857142858,12.857142857142858,2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
114.9,0,0,1,1,19,13.375,12.285714285714286,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
123.9,0,0,1,0,19,13.296666666666669,14.114285714285714,2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
